"time","Reg1.wconn.F_exc"
30.6,-481941.52683757816
30.7,-395109.9962529621
30.8,-303978.3814859475
30.9,-209331.12212792347
31,-111991.28957253462
31.1,-12813.399884215203
31.2,87324.12180962645
31.3,187526.75865190153
31.4,286891.93121701194
31.5,384517.1660831646
31.6,479508.32953638554
31.7,570987.8509427065
31.8,658102.859835856
31.9,740033.1609829096
32,815998.9726137146
32.1,885268.354626882
32.2,947164.2559067813
32.3,1.0010711128846332e6
32.4,1.0464409351298431e6
32.5,1.082798818035164e6
32.6,1.1097478275259945e6
32.7,1.1269732071382133e6
32.8,1.1342458637239225e6
32.9,1.1314250944084136e6
33,1.1184605241780258e6
33.1,1.0953932305670418e6
33.2,1.0623560392682117e6
33.3,1.0195729820490291e6
33.4,967357.9160452748
33.5,906112.3112535586
33.6,836322.2207836595
33.7,758554.4560870783
33.8,673451.9968784169
33.9,581728.6727396
34,484163.1603750164
34.1,381592.3471001021
34.2,274904.117334172
34.3,165029.62456893758
34.4,52935.116441020575
34.5,-60386.61490062336
34.6,-173925.08102101283
34.7,-286661.16466801334
34.8,-397576.3246097932
34.9,-505661.85418714193
35,-609928.1089124286
35.1,-709413.618211371
35.2,-803193.9969537574
35.3,-890390.5737543119
35.4,-970178.6551374688
35.5,-1.0417953475342263e6
35.6,-1.1045468626936465e6
35.7,-1.157815236416091e6
35.8,-1.201064395513853e6
35.9,-1.2338455135349084e6
36,-1.2558016019977694e6
36.1,-1.266671290625984e6
36.2,-1.2662917572789981e6
36.3,-1.254600775888303e6
36.4,-1.231637858654796e6
36.5,-1.197544476973315e6
36.6,-1.1525633539483326e6
36.7,-1.0970368298737998e6
36.8,-1.0314043105917461e6
36.9,-956198.8171388507
37,-872042.6634594611
37.1,-779642.297127977
37.2,-679782.3459075586
37.3,-573318.9204998033
37.4,-461172.230940919
37.5,-344318.58070521534
37.6,-223781.80862289516
37.7,-100624.25414741739
37.8,24062.673735084714
37.9,149168.23962362757
38,273572.3492372676
38.1,396155.6512719331
38.2,515809.68181795324
38.3,631446.9587513978
38.4,742010.933536858
38.5,846485.7087586945
38.6,943905.4314271767
38.7,1.033363274673102e6
38.8,1.1140199238297355e6
38.9,1.1851114870758306e6
39,1.245956755743384e6
39.1,1.2959637450357894e6
39.2,1.3346354522070822e6
39.3,1.3615747761654116e6
