"time","y[3]"
372.40000000037344,1.4096893494967667e6
372.5000000003736,1.462405464236051e6
372.5000000003736,1.462405464384512e6
372.6000000003738,1.5021460581017567e6
372.6000000003738,1.5021460582004872e6
372.70000000037425,1.5285585235485677e6
372.70000000037425,1.5285585235966595e6
372.800000000374,1.5414085100422334e6
372.800000000374,1.5414085100391426e6
372.900000000374,1.5405820031902797e6
372.900000000374,1.5405820031360616e6
373,1.5260863363604583e6
373.0000000003747,1.5260863363604583e6
373.0000000003747,1.5260863362554032e6
373.10000000037485,1.4980501256137765e6
373.10000000037485,1.4980501254588687e6
373.2000000003743,1.4567221285295577e6
373.2000000003743,1.4567221283264807e6
373.3000000003748,1.4024690370479142e6
373.3000000003748,1.4024690367979554e6
373.4000000003746,1.3357722239132947e6
373.4000000003746,1.3357722236190527e6
373.50000000037505,1.2572234715862337e6
373.50000000037505,1.2572234712497971e6
373.60000000037496,1.167519721521007e6
373.60000000037496,1.1675197211458322e6
373.70000000037504,1.067456890395736e6
373.70000000037504,1.0674568899849253e6
373.800000000375,957922.8081627234
373.800000000375,957922.8077201026
373.90000000037526,839889.3405778783
373.90000000037526,839889.3401069557
374,714403.7661032997
374.0000000003756,714403.7661032997
374.0000000003756,714403.7656081396
374.10000000037564,582579.4836941141
374.10000000037564,582579.4831795379
374.2000000003758,445586.1339156227
374.2000000003758,445586.1333859557
374.30000000037535,304639.22104478953
374.30000000037535,304639.2205056182
374.40000000037566,160989.32823570067
374.40000000037566,160989.32769067315
374.50000000037596,15911.021439025284
374.50000000037596,15911.020893054678
374.60000000037576,-129308.4594705148
374.60000000037576,-129308.46001184435
374.7000000003757,-273380.6220188985
374.7000000003757,-273380.62255111407
374.80000000037614,-415027.1535724028
374.80000000037614,-415027.1540913312
374.9000000003765,-552991.2634528991
374.9000000003765,-552991.2639539018
375,-686048.8340965423
375.00000000037653,-686048.8340965423
375.00000000037653,-686048.8345746251
375.10000000037655,-813019.282310819
375.10000000037655,-813019.28276174
375.2000000003766,-932776.03426472
375.2000000003766,-932776.0346845418
375.3000000003768,-1.0442565212685856e6
375.3000000003768,-1.0442565216537474e6
375.4000000003764,-1.1464716076526288e6
375.4000000003764,-1.1464716079990936e6
375.50000000037664,-1.238514367096244e6
375.50000000037664,-1.2385143674015284e6
375.60000000037724,-1.3195681295349977e6
375.60000000037724,-1.3195681297965783e6
375.70000000037675,-1.3889137272496796e6
375.70000000037675,-1.3889137274645153e6
375.8000000003768,-1.4459358758432807e6
375.8000000003768,-1.4459358760098056e6
375.9000000003776,-1.4901286334899638e6
375.9000000003776,-1.4901286336069147e6
376,-1.521099890017909e6
376.00000000037744,-1.521099890017909e6
376.00000000037744,-1.5210998900838664e6
376.10000000037735,-1.5385748459945559e6
376.10000000037735,-1.5385748460089834e6
376.2000000003774,-1.542398450946542e6
376.2000000003774,-1.5423984509093256e6
376.3000000003775,-1.5325367790798165e6
376.3000000003775,-1.5325367789912578e6
376.4000000003776,-1.5090773302938442e6
376.4000000003776,-1.509077330154698e6
376.50000000037755,-1.4722282538190733e6
376.50000000037755,-1.4722282536306295e6
376.60000000037803,-1.4223165013662179e6
376.60000000037803,-1.422316501129843e6
376.70000000037817,-1.359784926173608e6
376.70000000037817,-1.3597849258914993e6
376.80000000037825,-1.2851883536923584e6
376.80000000037825,-1.2851883533670765e6
376.9000000003783,-1.1991886587730602e6
376.9000000003783,-1.1991886584074239e6
377,-1.1025488930321804e6
377.00000000037835,-1.1025488930321804e6
377.00000000037835,-1.1025488926295314e6
377.10000000037815,-996126.5145052518
377.10000000037815,-996126.5140694251
377.20000000037885,-880865.7796580074
377.20000000037885,-880865.7791917184
377.30000000037876,-757789.3652582649
377.30000000037876,-757789.3647666501
377.4000000003786,-627989.2944471483
377.4000000003786,-627989.2939345837
377.5000000003789,-492617.24751749495
377.5000000003789,-492617.2469879836
377.60000000037905,-352874.3433726909
377.60000000037905,-352874.34283115336
377.70000000037885,-210000.4823288765
377.70000000037885,-210000.48178052338
377.8000000003792,-65263.34482025697
377.8000000003792,-65263.34426921438
377.9000000003795,80052.85637926435
377.9000000003795,80052.85692810672
378,224658.77062350966
378.00000000037926,224658.77062350966
378.00000000037926,224658.77116438112
378.10000000037985,367271.3494465593
378.10000000037985,367271.349975864
378.20000000037965,506625.2306991639
378.20000000037965,506625.2312111648
378.3000000003795,641483.9657584591
378.3000000003795,641483.9662486307
378.4000000003798,770650.9901958804
378.4000000003798,770650.9906605209
378.50000000037994,892980.2405647794
378.50000000037994,892980.2409994554
378.60000000037985,1.0073863231048442e6
378.60000000037985,1.0073863235054403e6
378.7000000003802,1.1128541441426862e6
378.7000000003802,1.112854144506158e6
378.8000000003801,1.2084479167385728e6
378.8000000003801,1.2084479170611796e6
378.90000000038,1.2933194636661091e6
378.90000000038,1.2933194639450137e6
379,1.366715743055369e6
379.00000000038017,1.366715743055369e6
379.00000000038017,1.3667157432882977e6
379.10000000038065,1.4279855299259159e6
379.10000000038065,1.4279855301108977e6
379.2000000003803,1.4765851943270338e6
379.2000000003803,1.476585194462048e6
379.3000000003808,1.5120835248164455e6
379.3000000003808,1.5120835249005326e6
379.40000000038043,1.5341655544806935e6
379.40000000038043,1.534165554512917e6
379.5000000003805,1.542635355549979e6
379.5000000003805,1.5426353555301256e6
379.6000000003812,1.5374177778112218e6
379.6000000003812,1.5374177777393342e6
379.70000000038124,1.5185591153952566e6
379.70000000038124,1.5185591152719895e6
379.8000000003814,1.4862266960217138e6
379.8000000003814,1.4862266958481201e6
379.9000000003813,1.4407073963463514e6
379.9000000003813,1.4407073961240414e6
380,1.3824050965831967e6
380.0000000003811,1.3824050965831967e6
380.0000000003811,1.3824050963142773e6
380.10000000038156,1.3118370969869334e6
380.10000000038156,1.3118370966732844e6
380.2000000003819,1.2296295279900646e6
380.2000000003819,1.2296295276344193e6
380.3000000003815,1.1365117947195987e6
380.3000000003815,1.1365117943259089e6
380.4000000003816,1.0333101051868313e6
380.4000000003816,1.0333101047579751e6
380.50000000038153,920940.1395704853
380.50000000038153,920940.1391105808
380.600000000382,800398.9256391207
380.600000000382,800398.9251515403
380.7000000003818,672755.9923977758
380.7000000003818,672755.9918876217
380.80000000038183,539143.8804517408
380.80000000038183,539143.8799233219
380.90000000038225,400748.0932859103
380.90000000038225,400748.09274326946
381,258796.57861783614
381.0000000003829,258796.57861783614
381.0000000003829,258796.57806551547
381.10000000038224,114548.83315677119
381.10000000038224,114548.83260154977
381.2000000003825,-30715.27256445575
381.2000000003825,-30715.273119047615
381.3000000003826,-175706.85012841635
381.3000000003826,-175706.85067720813
381.40000000038253,-319139.42918490624
381.40000000038253,-319139.42972278385
381.5000000003827,-459740.3719483539
381.5000000003827,-459740.3724708593
381.60000000038303,-596262.1649621881
381.60000000038303,-596262.1654648185
381.70000000038334,-727493.4879427932
381.70000000038334,-727493.4884211263
381.80000000038285,-852269.9614906305
381.80000000038285,-852269.961939375
381.90000000038356,-969484.4783078751
381.90000000038356,-969484.4787244905
382,-1.0780970262571238e6
382.0000000003838,-1.0780970262571238e6
382.0000000003838,-1.0780970266372724e6
382.10000000038394,-1.1771439161025172e6
382.10000000038394,-1.17714391644268e6
382.20000000038397,-1.2657463320588607e6
382.20000000038397,-1.2657463323559507e6
382.300000000384,-1.3431181292825432e6
382.300000000384,-1.3431181295338743e6
382.4000000003838,-1.4085728091178406e6
382.4000000003838,-1.4085728093210924e6
382.50000000038375,-1.4615296102110085e6
382.50000000038375,-1.4615296103644664e6
382.60000000038383,-1.5015186614453574e6
382.60000000038383,-1.501518661547705e6
382.7000000003839,-1.528185150978615e6
382.7000000003839,-1.5281851510289367e6
382.80000000038433,-1.541292474390748e6
382.80000000038433,-1.5412924743885645e6
382.90000000038424,-1.5407243340096516e6
382.90000000038424,-1.5407243339549382e6
383,-1.5264857707885122e6
383.0000000003847,-1.5264857707885122e6
383.0000000003847,-1.5264857706816278e6
383.10000000038485,-1.4987031195788006e6
383.10000000038485,-1.4987031194207116e6
383.20000000038476,-1.4576228881958749e6
383.20000000038476,-1.457622887988046e6
383.30000000038467,-1.4036095702229927e6
383.30000000038467,-1.4036095699673204e6
383.400000000385,-1.3371424109602715e6
383.400000000385,-1.3371424106586957e6
383.5000000003849,-1.2588111552126668e6
383.5000000003849,-1.2588111548681918e6
383.60000000038474,-1.1693108146471824e6
383.60000000038474,-1.1693108142629457e6
383.70000000038533,-1.0694355011454497e6
383.70000000038533,-1.0694355007240244e6
383.80000000038524,-960071.380867523
383.80000000038524,-960071.3804134065
383.90000000038543,-842188.8115436761
383.90000000038543,-842188.8110604883
384,-716833.7327572816
384.0000000003856,-716833.7327572816
384.0000000003856,-716833.7322493533
384.10000000038565,-585118.385611152
384.10000000038565,-585118.3850832037
384.20000000038556,-448211.4441179892
384.20000000038556,-448211.4435747851
384.30000000038535,-307327.6458778316
384.30000000038535,-307327.6453244402
384.40000000038555,-163717.01404602287
384.40000000038555,-163717.0134867041
384.50000000038585,-18653.76622138952
384.50000000038585,-18653.765661019817
384.60000000038644,126574.99133545952
384.60000000038644,126574.99189231498
384.70000000038584,270680.6838413652
384.70000000038584,270680.68438813457
384.80000000038615,412384.7011604385
384.80000000038615,412384.70169348194
384.9000000003859,550429.7425594317
384.9000000003859,550429.7430733142
385,683590.9723911651
385.00000000038654,683590.9723911651
385.00000000038654,683590.9728824357
385.10000000038644,810686.8877237717
385.10000000038644,810686.8881871025
385.20000000038624,930589.8014910434
385.20000000038624,930589.8019222774
385.30000000038666,1.0422358481497905e6
385.30000000038666,1.0422358485457136e6
385.4000000003867,1.1446344230649886e6
385.4000000003867,1.1446344234216958e6
385.50000000038676,1.2368769718728103e6
385.50000000038676,1.236876972187125e6
385.6000000003871,1.3181450518327989e6
385.6000000003871,1.3181450521021166e6
385.70000000038715,1.38771759364538e6
385.70000000038715,1.387717593867067e6
385.80000000038694,1.4449772993010462e6
385.80000000038694,1.4449772994729946e6
385.9000000003871,1.4894161191955467e6
