"time","wconn.F_exc"
30.4,-639799.9197773506
30.45,-602523.5104147044
30.5,-563733.9410961092
30.55,-523511.863415487
30.6,-481941.52683757816
30.65,-439110.60213894286
30.7,-395109.9962529621
30.75,-350033.65891018044
30.8,-303978.3814859475
30.85,-257043.5884870525
30.9,-209331.12212792347
30.95,-160945.0204647057
31,-111991.28957253462
31.05,-62577.67026681342
31.1,-12813.399884215203
31.15,37191.03034753636
31.2,87324.12180962645
31.25,137473.61830931492
31.3,187526.75865190153
31.35,237370.5313964638
31.4,286891.93121701194
31.45,335978.21628486016
31.5,384517.1660831646
31.55,432397.33906152326
31.6,479508.32953638554
31.65,525741.0232426701
31.7,570987.8509427065
31.75,615143.0395008622
31.8,658102.859835856
31.85,699765.8711677471
31.9,740033.1609829096
31.95,778808.5801480951
32,815998.9726137146
32.05,851514.3991569265
32.1,885268.354626882
32.15,917177.9781673966
32.2,947164.2559067813
32.25,975152.2156199226
32.3,1.0010711128846332e6
32.35,1.0248546082720244e6
32.4,1.0464409351298431e6
32.45,1.0657730575378125e6
32.5,1.082798818035164e6
32.55,1.0974710747428536e6
32.6,1.1097478275259945e6
32.65,1.119592332866168e6
32.7,1.1269732071382133e6
32.75,1.1318645180117083e6
32.8,1.1342458637239225e6
32.85,1.1341024399980565e6
32.9,1.1314250944084136e6
32.95,1.126210368022388e6
33,1.1184605241780258e6
33.05,1.1081835642850664e6
33.1,1.0953932305670418e6
33.15,1.0801089956918373e6
33.2,1.0623560392682117e6
33.25,1.0421652112161444e6
33.3,1.0195729820490291e6
33.35,994621.3801363073
33.4,967357.9160452748
33.45,937835.494091032
33.5,906112.3112535586
33.55,872251.7436504856
33.6,836322.2207836595
33.65,798397.0878064284
33.7,758554.4560870783
33.75,716877.042371893
33.8,673451.9968784169
33.85,628370.7206763896
33.9,581728.6727396
33.95,533625.1670768766
34,484163.1603750164
34.05,433449.03060931637
34.1,381592.3471001021
34.15,328705.632514642
34.2,274904.117334172
34.25,220305.48732482255
34.3,165029.62456893758
34.35,109198.3426301901
34.4,52935.116441020575
34.45,-3635.1924850408377
34.5,-60386.61490062336
34.55,-117192.35610500832
34.6,-173925.08102101283
34.65,-230457.20142356658
34.7,-286661.16466801334
34.75,-342409.7432605682
34.8,-397576.3246097932
34.85,-452035.20029503613
34.9,-505661.85418714193
34.95,-558333.2487574045
35,-609928.1089124286
35.05,-660327.2026969746
35.1,-709413.618211371
35.15,-757073.0360972745
35.2,-803193.9969537574
35.25,-847668.1630552242
35.3,-890390.5737543119
35.35,-931259.8939652327
35.4,-970178.6551374688
35.45,-1.0070534881451305e6
35.5,-1.0417953475342263e6
35.55,-1.0743197265884725e6
35.6,-1.1045468626936465e6
35.65,-1.1324019325014767e6
35.7,-1.157815236416091e6
35.75,-1.1807223719490815e6
35.8,-1.201064395513853e6
35.85,-1.21878797225497e6
35.9,-1.2338455135349084e6
35.95,-1.24619530172777e6
36,-1.2558016019977694e6
36.05,-1.262634760769409e6
36.1,-1.266671290625984e6
36.15,-1.2678939414036025e6
36.2,-1.2662917572789981e6
36.25,-1.261860119681079e6
36.3,-1.254600775888303e6
36.35,-1.2445218532065176e6
36.4,-1.231637858654796e6
36.45,-1.2159696641198874e6
36.5,-1.197544476973315e6
36.55,-1.1763957961784315e6
36.6,-1.1525633539483326e6
36.65,-1.1260930430488025e6
36.7,-1.0970368298737998e6
36.75,-1.0654526534540113e6
36.8,-1.0314043105917461e6
36.85,-994961.3273479267
36.9,-956198.8171388507
36.95,-915197.3257317776
37,-872042.6634594611
37.05,-826825.7250037511
37.1,-779642.297127977
37.15,-730592.85476651
37.2,-679782.3459075586
37.25,-627319.9657324115
37.3,-573318.9204998033
37.35,-517896.1816892867
37.4,-461172.230940919
37.45,-403270.79635098355
37.5,-344318.58070521534
37.55,-284444.98225018336
37.6,-223781.80862289516
37.65,-162462.98457544867
37.7,-100624.25414741739
37.75,-38402.8779533267
37.8,24062.673735084714
37.85,86633.03142037558
37.9,149168.23962362757
37.95,211528.07223252943
38,273572.3492372676
38.05,335161.2541340099
38.1,396155.6512719331
38.15,456417.40241852443
38.2,515809.68181795324
38.25,574197.2890188274
38.3,631446.9587513978
38.35,687427.667139195
38.4,742010.933536858
38.45,795071.1172945052
38.5,846485.7087586945
38.55,896135.6138321426
38.6,943905.4314271767
38.65,989683.7231629855
38.7,1.033363274673102e6
38.75,1.0748413479070175e6
38.8,1.1140199238297355e6
38.85,1.1508059349431777e6
38.9,1.1851114870758306e6
38.95,1.2168540699103533e6
39,1.245956755743384e6
39.05,1.272348385997961e6
39.1,1.2959637450357894e6
39.15,1.3167437208448404e6
39.2,1.3346354522070822e6
39.25,1.3495924619810644e6
39.3,1.3615747761654116e6
39.35,1.3705490284409989e6
39.4,1.3764885499223599e6
39.45,1.379373443882227e6
39.5,1.379190645247004e6
39.55,1.3759339646955763e6
39.6,1.3696041172287518e6
39.65,1.3602087351120037e6
39.7,1.347762365129787e6
39.75,1.3322864501255972e6
39.8,1.313809294837842e6
39.85,1.2923660160777045e6
39.9,1.2679984773310914e6
39.95,1.2407552079026808e6
40,1.2106913067557442e6
40.05,1.1778683312367273e6
40.1,1.1423541709087382e6
40.15,1.1042229067525312e6
40.2,1.0635546560275934e6
40.25,1.0204354031195686e6
40.3,974956.8167326807
40.35,927216.0538180752
40.4,877315.5506600671
40.45,825362.8015722436
40.5,771470.1256851098
40.55,715754.4223345933
40.6,658336.9155882464
40.65,599342.8884715951
40.7,538901.4074816924
40.75,477145.03799850453
40.8,414209.55122642755
40.85,350233.62331892655
40.9,285358.52735839394
40.95,219727.81888065807
41,153487.0156500036
41.05,86783.27240441863
41.1,19765.051304115517
41.15,-47418.211172928975
41.2,-114616.44013503712
41.25,-181679.2602194166
41.3,-248456.33480642145
41.35,-314797.7057340817
41.4,-380554.1327393353
41.45,-445577.43185172894
41.5,-509720.8119661093
41.55,-572839.2088243219
41.6,-634789.6156398598
41.65,-695431.4096065175
41.7,-754626.6735399474
41.75,-812240.5119108293
41.8,-868141.3605404452
41.85,-922201.2892423072
41.9,-974296.2967088227
41.95,-1.0243065969585961e6
42,-1.0721168966779897e6
42.05,-1.1176166628106625e6
42.1,-1.1607003797699397e6
42.15,-1.201267795671693e6
42.2,-1.2392241570097408e6
42.25,-1.2744804312210847e6
42.3,-1.3069535166155512e6
42.35,-1.3365664391721664e6
42.4,-1.363248535734188e6
42.45,-1.386935623165012e6
42.5,-1.4075701530586723e6
42.55,-1.4251013516311955e6
42.6,-1.4394853444523083e6
42.65,-1.4506852657113047e6
42.7,-1.4586713517458213e6
42.75,-1.4634210185978033e6
42.8,-1.46491892339728e6
42.85,-1.4631570094111918e6
42.9,-1.458134534631724e6
42.95,-1.4498580838160499e6
43,-1.4383415639271468e6
43.05,-1.42360618296323e6
43.1,-1.4056804122013692e6
43.15,-1.384599931918807e6
43.2,-1.3604075606933543e6
43.25,-1.333153168421996e6
43.3,-1.3028935732342137e6
43.35,-1.2696924225136107e6
43.4,-1.2336200582780899e6
43.45,-1.1947533672048228e6
43.5,-1.1531756156219384e6
43.55,-1.1089762698233502e6
43.6,-1.0622508020974873e6
43.65,-1.0131004828935799e6
43.7,-961632.1595815194
43.75,-907958.0222925352
